0:0:0:0:0:0:0:1 - - [28/May/2024:11:35:39 +0500] "GET /Inventory/SignIn.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:11:35:39 +0500] "GET /Inventory/SignIn.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:11:35:45 +0500] "GET /Inventory/SignIn.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:11:35:45 +0500] "GET /Inventory/SignIn.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:11:36:06 +0500] "GET /Inventory/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:11:36:06 +0500] "GET /Inventory/index.css HTTP/1.1" 200 1704
0:0:0:0:0:0:0:1 - - [28/May/2024:11:36:29 +0500] "GET /Inventory/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:11:36:29 +0500] "GET /Inventory/index.css HTTP/1.1" 200 1407
0:0:0:0:0:0:0:1 - - [28/May/2024:11:36:30 +0500] "GET /Inventory/SignUp.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:11:36:30 +0500] "GET /Inventory/SignUp.css HTTP/1.1" 200 1139
0:0:0:0:0:0:0:1 - - [28/May/2024:11:37:01 +0500] "GET /Inventory/SignIn.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:11:37:01 +0500] "GET /Inventory/SignIn.css HTTP/1.1" 200 1177
0:0:0:0:0:0:0:1 - - [28/May/2024:11:37:17 +0500] "GET /Inventory/SignUp.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:11:37:17 +0500] "GET /Inventory/SignUp.css HTTP/1.1" 200 1177
0:0:0:0:0:0:0:1 - - [28/May/2024:11:37:47 +0500] "GET /Inventory/SignIn.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:11:37:48 +0500] "GET /Inventory/SignIn.css HTTP/1.1" 304 -
